# I-04-D phase-wall report (REPORTED, never bounded - I-04-B carry 3)
#
# case_wall_seconds includes the harness fences (a parked participant waiting for the
# scheduler is NOT protocol latency); the protocol-attributable number is
# max_lock_wait_seconds, which is the longest real OS-lock acquisition.

case                               phase_wall_s  max_lock_wait_s  lock_acq  pause  resume  harness_error
I04D-CASE-F-L5                           1.0074           0.0002         4      1       1  -
I04D-CASE-F-L6                           1.7989           0.0002         6      3       3  -
I04D-CASE-F-L6b                          1.1368           0.0003         4      2       2  -
I04D-CASE-F-L7                           0.7261           0.0003         4      1       1  -
I04D-CASE-F-L7b                          0.7799           0.0003         4      1       1  -
I04D-CASE-F-L7c                          0.9607           0.0003         6      1       1  -
I04D-CASE-F-L8a-W1                       1.0893           0.0009         3      1       1  -
I04D-CASE-F-L8a-W1b                      1.5638           0.0005         5      2       2  -
I04D-CASE-F-L8b-W2                       1.2522           0.0003         3      2       1  -
I04D-CASE-F-L8c-W4                       1.3216           0.0004         4      2       2  -
I04D-CASE-F-L8d                           0.612           0.0003         2      1       0  -
I04D-CASE-F-L8g-UNKNOWN                  0.3654           0.0002         1      0       0  -
I04D-CASE-F-L8h-WRITEFAIL                0.3898           0.0002         1      0       0  -
I04D-CASE-F-L9a                          0.3477           0.0003         1      0       0  -
I04D-CASE-F-L9c                          0.5674           0.0003         2      1       0  -
I04D-CASE-F-LK-HOLDER-CRASH                1.11              0.0         0      0       0  -
I04D-CASE-F-LK-NEVER-UNLINK              1.2393           0.0004         4      2       2  -
I04D-CASE-F-LK-TIMEOUT                   0.4561              0.0         0      0       0  -
I04D-CASE-F-LK-TIMEOUT-ZERO              0.2124           0.0003         1      0       0  -

cases: 19
